timestamp,frame,model,class,confidence
2025-04-29 00:03:29,757,Trash,2,0.829
2025-04-29 00:03:29,758,FishInv,11,0.874
2025-04-29 00:03:29,761,MegaFauna,2,0.897
2025-04-29 00:03:29,761,Trash,2,0.754
2025-04-29 00:03:29,763,FishInv,11,0.884
2025-04-29 00:03:30,765,MegaFauna,2,0.914
2025-04-29 00:03:30,766,Trash,2,0.757
2025-04-29 00:03:30,769,FishInv,11,0.886
2025-04-29 00:03:30,771,MegaFauna,2,0.906
2025-04-29 00:03:30,773,Trash,2,0.659
2025-04-29 00:03:30,774,FishInv,11,0.895
2025-04-29 00:03:31,776,MegaFauna,2,0.9
2025-04-29 00:03:31,778,Trash,2,0.76
2025-04-29 00:03:31,781,FishInv,11,0.894
2025-04-29 00:03:31,782,MegaFauna,2,0.945
2025-04-29 00:03:31,782,MegaFauna,2,0.503
2025-04-29 00:03:31,785,FishInv,11,0.885
2025-04-29 00:03:32,787,MegaFauna,2,0.93
2025-04-29 00:03:32,789,Trash,2,0.742
2025-04-29 00:03:32,791,FishInv,11,0.891
2025-04-29 00:03:32,794,MegaFauna,2,0.929
2025-04-29 00:03:32,794,Trash,2,0.721
2025-04-29 00:03:32,796,FishInv,11,0.882
2025-04-29 00:03:33,798,MegaFauna,2,0.924
2025-04-29 00:03:33,799,Trash,2,0.679
2025-04-29 00:03:33,800,FishInv,11,0.884
2025-04-29 00:03:33,803,MegaFauna,2,0.916
2025-04-29 00:03:33,803,Trash,2,0.809
2025-04-29 00:03:33,806,FishInv,11,0.896
2025-04-29 00:03:33,807,MegaFauna,2,0.852
2025-04-29 00:03:34,810,FishInv,11,0.895
2025-04-29 00:03:34,812,MegaFauna,2,0.892
2025-04-29 00:03:34,814,Trash,2,0.647
2025-04-29 00:03:34,816,FishInv,11,0.907
2025-04-29 00:03:35,818,MegaFauna,2,0.863
2025-04-29 00:03:35,819,Trash,2,0.694
2025-04-29 00:03:35,819,Trash,8,0.61
2025-04-29 00:03:35,821,FishInv,11,0.905
2025-04-29 00:03:35,822,MegaFauna,2,0.901
2025-04-29 00:03:35,824,Trash,2,0.87
2025-04-29 00:03:35,825,FishInv,11,0.898
2025-04-29 00:03:36,828,MegaFauna,2,0.916
2025-04-29 00:03:36,829,Trash,2,0.88
2025-04-29 00:03:36,829,Trash,8,0.664
2025-04-29 00:03:36,831,FishInv,11,0.91
2025-04-29 00:03:36,832,MegaFauna,2,0.902
